slug	name	isAcademic	isCritic	isAuthor	isJournalist
sian-cain	Sian Cain	FALSE	FALSE	FALSE	TRUE
sinead-gleeson	Sinéad Gleeson	FALSE	FALSE	TRUE	FALSE
siri-hustvedt	Siri Hustvedt	FALSE	FALSE	TRUE	FALSE
sophie-mackintosh	Sophie Mackintosh	FALSE	FALSE	TRUE	FALSE
stephen-king	Stephen King	FALSE	FALSE	TRUE	FALSE
steven-poole	Steven Poole	FALSE	FALSE	TRUE	TRUE
stuart-kelly	Stuart Kelly	FALSE	FALSE	FALSE	FALSE
sukhdev-sandhu	Sukhdev Sandhu	TRUE	FALSE	TRUE	FALSE
susanna-rustin	Susanna Rustin	FALSE	FALSE	FALSE	TRUE
tahmima-anam	Tahmima Anam	FALSE	FALSE	TRUE	FALSE
tanjil-rashid	Tanjil Rashid	FALSE	FALSE	FALSE	FALSE
tessa-hadley	Tessa Hadley	FALSE	FALSE	TRUE	FALSE
tom-crewe	Tom Crewe	FALSE	FALSE	TRUE	FALSE
uzma-aslam-khan	Uzma Aslam Khan	TRUE	FALSE	TRUE	FALSE
valeria-luiselli	Valeria Luiselli	FALSE	FALSE	TRUE	FALSE
william-boyd	William Boyd	FALSE	FALSE	TRUE	FALSE
xan-brooks	Xan Brooks	FALSE	FALSE	TRUE	TRUE
yael-van-der-wouden	Yael van der Wouden	FALSE	FALSE	TRUE	FALSE
yagnishsing-dawoor	Yagnishsing Dawoor	FALSE	FALSE	FALSE	FALSE
yan-lianke	Yan Lianke	TRUE	FALSE	TRUE	FALSE
yiyun-li	Yiyun Li	TRUE	FALSE	TRUE	FALSE
